日期	总	已到	未到	总增加	已到增加	未到增加	总价值	已到价值	未到价值	总值增加	已到值增加	未到值增加	增长速度	即时价格
2018/10/30	140000.00 	40000.00 	100000.00 	0.00 	0.00 	0.00 	7000.00 	2000.00 	5000.00 	0.00 	0.00 	0.00 	0.00 	0.0500 
2018/10/31	167027.54 	44052.42 	122975.12 	27027.54 	4052.42 	22975.12 	8351.38 	2202.62 	6148.76 	1351.38 	202.62 	1148.76 	19.31%	0.0500 
2018/11/1	196920.15 	44052.42 	152867.73 	29892.61 	0.00 	29892.61 	9846.01 	2202.62 	7643.39 	1494.63 	0.00 	1494.63 	17.90%	0.0500 
2018/11/1	191830.00 	58226.28 	133603.72 	(5090.15)	14173.86 	(19264.01)	9591.50 	2911.31 	6680.19 	(254.51)	708.69 	(963.20)	-2.58%	0.0500 
2018/11/1	193340.24	58226.28	135113.96	1510.24 	0.00 	1510.24 	9667.01 	2911.31 	6755.70 	75.51 	0.00 	75.51 	0.79%	0.0500 
2018/11/1	222238.1	58226.28	164011.82	28897.86 	0.00 	28897.86 	11111.91 	2911.31 	8200.59 	1444.89 	0.00 	1444.89 	14.95%	0.0500 
2018/11/2	230181.68	80766.79	149414.89	7943.58 	22540.51 	(14596.93)	11509.08 	4038.34 	7470.74 	397.18 	1127.03 	(729.85)	3.57%	0.0500 
2018/11/3	253219.69	80766.79	172452.9	23038.01 	0.00 	23038.01 	12660.98 	4038.34 	8622.65 	1151.90 	0.00 	1151.90 	10.01%	0.0500 
2018/11/4	242783.85	99221.00	143562.85	(10435.84)	18454.21 	(28890.05)	12139.19 	4961.05 	7178.14 	(521.79)	922.71 	(1444.50)	-4.12%	0.0500 
2018/11/4	271752.95	99221.00	172531.95	28969.10 	0.00 	28969.10 	13587.65 	4961.05 	8626.60 	1448.46 	0.00 	1448.46 	11.93%	0.0500 
2018/11/5	279214.43	117932.09	161282.34	7461.48 	18711.09 	(11249.61)	13960.72 	5896.60 	8064.12 	373.07 	935.55 	(562.48)	2.75%	0.0500 
2018/11/6	307324.74	118659.30	188665.44	28110.31 	727.21 	27383.10 	15366.24 	5932.97 	9433.27 	1405.52 	36.36 	1369.16 	10.07%	0.0500 
2018/11/6	304117.83	135861.32	168256.51	(3206.91)	17202.02 	(20408.93)	15205.89 	6793.07 	8412.83 	(160.35)	860.10 	(1020.45)	-1.04%	0.0500 
2018/11/7	331216.76	158265.87 	172950.89 	27098.93 	22404.55 	4694.38 	16560.84 	7913.29 	8647.54 	1354.95 	1120.23 	234.72 	8.91%	0.0500 
2018/11/7	351302.98	158265.87	193037.11	20086.22 	0.00 	20086.22 	17565.15 	7913.29 	9651.86 	1004.31 	0.00 	1004.31 	6.06%	0.0500 
2018/11/8	351786.48	188931.75	162854.73	483.50 	30665.88 	(30182.38)	17589.32 	9446.59 	8142.74 	24.18 	1533.29 	(1509.12)	0.14%	0.0500 
2018/11/8	351818.16	188931.75	162886.41	31.68 	0.00 	31.68 	17590.91 	9446.59 	8144.32 	1.58 	0.00 	1.58 	0.01%	0.0500 
2018/11/9	370056.10	213534.72	156521.38	18237.94 	24602.97 	(6365.03)	18502.81 	10676.74 	7826.07 	911.90 	1230.15 	(318.25)	5.18%	0.0500
2018/11/9	372753.88	213534.72	159219.16	2697.77 	0.00 	2697.78 	18637.69 	10676.74 	7960.96 	134.89 	0.00 	134.89 	0.73%	0.0500 
 
